Name,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
Y PAT_L_do 4,-80.73705444,-49.22586975,-8.132533264,-46.2262207,-80.83359985,10.17526932,-41.36524658,-80.20770874,-80.66744995,-27.90045471,-49.20554504,-16.24947052,-80.3357666,-80.21872559,-8.158441162,-46.1125946,10.1682457,-41.12923889,-27.93590698,-16.16408844
Z PAT_L_do 4,3.353742599,4.698006058,39.38275757,34.41635437,22.00104675,31.73013,0.053842747,44.81552124,3.32725296,-4.543272018,4.660850525,49.59658813,21.88399048,44.79745789,39.37595215,34.41698914,31.71939697,0.015522543,-4.517884445,49.59424744
X PAT_L_do 3,23.11665649,16.9044632,14.9485611,19.52200775,4.624731064,13.08076172,-8.494225311,15.77589417,23.16182709,0.620669603,16.95159302,9.017108154,4.555603409,15.86807556,15.19038696,19.38925629,13.05269165,-8.499649811,0.744838428,9.1451828
Y PAT_L_do 3,-71.99591064,-56.03469849,-8.794727325,-53.93036499,-72.00109863,7.466597748,-47.91477356,-71.512146,-72.03248901,-21.25920563,-55.90966797,-12.51101151,-71.68989258,-71.53117065,-8.752832031,-53.4637085,7.464399719,-47.94776306,-21.33700256,-12.50154495
Z PAT_L_do 3,2.338434029,2.762134361,37.86352539,35.97519226,22.73947449,25.33230438,1.051199532,43.08374023,2.272763443,-7.735057068,2.759022522,41.80605164,22.75227814,43.0819519,37.87698669,35.80947266,25.23574677,1.068266106,-7.699046326,41.89134216
X PAT_L_do 2,26.16842651,15.66898804,3.834262085,23.86356201,2.486660385,3.733605194,-12.47330017,14.07208099,26.08338318,-8.302806091,15.86789703,4.369833374,2.429470444,14.14721832,3.660065079,23.79638214,3.784656906,-12.54191513,-8.254096222,4.908373642
Y PAT_L_do 2,-57.09512329,-67.70563965,-8.405700684,-66.95098877,-55.73560791,3.920134735,-60.39165039,-57.18289795,-57.27945557,-12.35066528,-67.52280884,-5.583298111,-56.01801147,-57.17337036,-8.277864838,-66.73638916,3.893370819,-60.31221313,-12.09737167,-5.68588829
Z PAT_L_do 2,1.429273415,0.622559452,36.54325256,36.93592224,22.418573,14.95448303,3.872235107,40.00216675,1.484826469,-13.19632568,0.436951685,29.50832825,22.72077637,40.01077881,36.49950256,36.85819702,15.15718842,3.740221786,-13.34811096,30.1265564
X PAT_L_do 10,28.63467712,20.51920166,40.83179016,12.70804901,1.874648094,30.75378418,-9.514429474,10.69466019,28.48894043,27.05472107,20.79443054,15.04420929,2.318060684,11.26566849,41.1584198,12.86226196,31.61505737,-9.720024872,26.80030518,14.52064514
Y PAT_L_do 10,-102.1203186,-31.18669128,-17.62778168,-26.29523621,-103.6465942,5.672753525,-23.09296112,-102.8968262,-101.9668457,-34.46179199,-31.62170105,-35.23181763,-104.3629883,-103.9551025,-17.76397247,-25.95024109,5.328458023,-21.6381073,-34.74590759,-35.62643127
Z PAT_L_do 10,1.592217731,-2.688188934,39.90140991,42.64150391,28.86589966,51.24764404,-7.403394318,43.27783203,1.537216187,5.13930397,-2.622916222,63.903125,27.87714233,42.87246399,39.74266663,42.86495972,51.74991455,-6.870796967,5.16288147,63.71846924
X PAT_L_do 1,27.92969666,14.61033478,-5.424123764,27.38302917,0.624434805,-3.308397293,-14.8989563,13.20528717,28.03325195,-14.33930359,14.70066681,1.39595499,0.636352444,13.32917023,-5.416450119,27.53007202,-3.24388504,-14.89057312,-14.33992615,3.941374207
Y PAT_L_do 1,-46.69561768,-75.27871704,-7.89310379,-75.31824341,-46.00488586,1.797688293,-68.97945557,-45.88708191,-46.62639465,-6.273285294,-75.22596436,-2.004442596,-46.21270142,-45.73171387,-7.727731323,-75.67880859,1.784262466,-69.01048584,-5.874699402,-0.479770136
Z PAT_L_do 1,1.693615532,-0.748786688,34.84656982,37.63565063,22.07983246,6.578057098,5.76541748,37.29366455,1.60552597,-16.94169006,-0.83986311,21.67952881,22.16921082,37.27294617,34.77679443,37.69043884,6.793453979,5.802242661,-17.19197388,22.45318298
X LM_R_zasq,19.16033325,-2.631380653,43.35725098,28.73537598,1.589707851,49.15711365,-4.482727051,34.28513794,18.8910553,7.840335846,-2.424979591,39.12181702,1.742679787,34.80516052,43.07843323,29.07572327,49.62997131,-4.421811676,8.106216431,39.81605835
Y LM_R_zasq,-99.11873169,-32.60044861,0.244253898,-22.97224884,-105.4457397,9.984072876,-19.9869751,-102.9686279,-99.93232422,-42.25404358,-32.57702637,-27.70842285,-105.5831421,-103.1104736,0.553734541,-23.09461975,9.843579102,-19.97321167,-41.84592285,-27.76996155
Z LM_R_zasq,26.86339111,7.533548737,25.47968597,22.25132751,3.300709152,32.90092773,17.21787415,32.90296631,26.0774292,23.11829987,7.525501251,60.40046387,3.602348709,32.70184021,24.66164551,22.18854523,32.34234619,17.15237732,22.6000061,59.17775269
X LM_R_zadp,24.497966,-4.51180191,19.98650208,39.77356262,-7.916855621,35.55929565,-13.10659332,34.26889038,24.62701111,-8.780033875,-4.912694931,34.482724,-7.52773056,34.34848938,20.60734558,39.76560974,35.65680542,-12.48448486,-8.903179169,34.55574646
Y LM_R_zadp,-73.18081665,-51.46657715,0.771431971,-45.10924988,-78.67296753,0.192384315,-38.63084717,-76.42409058,-73.26532593,-23.87940826,-51.58276978,-14.69358215,-78.59992065,-76.28856201,-0.070336902,-45.23391418,-0.020846772,-39.19510498,-23.95251465,-14.82576141
Z LM_R_zadp,28.91939697,3.158592796,17.15206146,24.32487793,-1.522407055,11.27781296,23.07767334,23.70540161,28.93327026,16.48174286,3.02441597,34.66790161,-1.592302322,23.61513214,16.16858215,24.06755829,11.3648941,23.11844635,16.31961975,34.58033752
X LM_R_za,20.74742737,-7.364220428,42.25892029,37.51805725,-5.554485321,55.82780151,-8.160144806,40.61896973,21.92339478,2.957278824,-7.63194046,48.39306946,-2.883760452,40.36494446,42.25820313,37.80241699,55.83533325,-8.028046417,3.161624527,48.59976196
Y LM_R_za,-94.07590942,-33.00437012,2.160765839,-22.50213165,-102.8718384,4.34582901,-19.4672699,-100.0481995,-96.22433472,-39.15052185,-33.01243591,-27.67663574,-103.1960693,-100.1818359,2.02011776,-22.58744659,4.59503746,-19.35171051,-39.09952393,-27.9206665
Z LM_R_za,35.83364258,5.959903336,15.85519104,19.9101181,-6.173090363,25.21259155,24.65765991,23.13621063,35.53718567,29.11417236,4.464847183,53.65372925,-6.114725113,23.1031311,15.80135498,20.05451508,25.68589783,24.61546326,29.16672668,53.3088562
